beta,seed,val_loss,val_distortion,val_rate,mi_proxy,prior_mismatch_proxy,latent_spread,decoder_sensitivity,local_decoder_sensitivity,delta_recon_zero,delta_recon_shuffle,delta_recon_perturb,prior_decode_pixel_std,prior_decode_pairwise_l1,prior_vs_zero_change
1,0,99.89876971667326,80.39431753037852,19.50445206557648,19.23447608947754,0.126305341720581,0.6609774827957153,0.1455577313899994,0.0341975651681423,262.0005798339844,479.3960266113281,21.071044921875,0.1534478068351745,0.1470610499382019,0.1200263351202011
1,1,99.70153518869908,79.64068391051474,20.06085113332241,19.78973197937012,0.1115815117955207,0.6739531755447388,0.1480721831321716,0.0330422110855579,278.19527435302734,477.1396408081055,20.353843688964844,0.1544269472360611,0.1424919962882995,0.1163350120186805
1,2,99.38799691502052,78.96902629997157,20.418970808198186,20.048015594482425,0.115772508084774,0.7167536616325378,0.1438474208116531,0.0326450243592262,289.4403076171875,522.8772583007812,17.66650390625,0.1580002456903457,0.1521404236555099,0.1197683289647102
1,3,99.64946630936636,80.14088372339177,19.508582513543622,19.245359420776367,0.1052943766117096,0.6693584322929382,0.1477015614509582,0.033653151243925,245.67063903808597,501.4195098876953,20.881179809570312,0.1537987440824508,0.1473388522863388,0.1158716231584549
1,4,99.7692189276973,79.69716209701345,20.07205663753461,19.82039451599121,0.1084593385457992,0.679108202457428,0.1403438150882721,0.032476931810379,275.0966033935547,511.0496368408203,19.17205810546875,0.1521792858839035,0.1435304880142212,0.1142351031303405
10,0,180.5550865463064,141.67275141462494,3.88823348962808,3.649413585662842,0.0572551973164081,0.2213332653045654,0.1148390024900436,0.0295905657112598,77.59432983398438,150.7598114013672,9.906646728515623,0.1077456548810005,0.1135956794023513,0.085280142724514
10,1,179.79216930534267,141.51480595069594,3.827736377716065,3.5923683643341064,0.084474116563797,0.2218428552150726,0.1200632974505424,0.0298299342393875,84.43186950683594,166.3955841064453,5.5688018798828125,0.1175619661808013,0.1186080500483512,0.0931072905659675
10,2,180.117006712322,142.43540838700306,3.768159854261181,3.546576738357544,0.0669890716671943,0.2169543504714965,0.1157749220728874,0.0275729745626449,87.24064636230469,186.64370727539065,12.54547119140625,0.1107191145420074,0.112371027469635,0.0880534872412681
10,3,180.65821239616295,144.14723958848398,3.6510973006864136,3.424964904785156,0.063842698931694,0.2176679521799087,0.1181151419878006,0.0294100996106863,84.96832275390625,176.8321533203125,12.256881713867188,0.1107798293232917,0.1160293817520141,0.084792211651802
10,4,179.8579561257664,141.7080388129512,3.814991721624061,3.5825915336608887,0.0663813203573226,0.2505603432655334,0.1117092967033386,0.0285253524780273,83.7574462890625,198.652587890625,6.584625244140625,0.1096706092357635,0.1117373406887054,0.0855752080678939
30,0,205.81953507435472,205.1748514296133,0.0214894722463398,0.0189917925745248,7.970308070071042e-05,0.0401998423039913,0.0101173985749483,0.001889863051474,-0.1555328369140625,1.3366241455078125,-0.006011962890625,0.009206935763359,0.0099670691415667,0.007484030444175
30,1,205.95622292047813,205.61790389048903,0.0112773007182758,0.0099514778703451,5.115597741678357e-05,0.0272036362439394,0.0077422279864549,0.0014508093008771,-0.00238037109375,0.2369384765625,0.025726318359375,0.0076973438262939,0.0082852086052298,0.0065263407304883
30,2,205.8743046627769,205.3239064276973,0.0183466357544441,0.0164909083396196,8.009748125914484e-05,0.0337391309440135,0.0098538715392351,0.0018178999889642,0.6399688720703125,1.051361083984375,0.1553497314453125,0.0077310041524469,0.0088262232020497,0.0064935288392007
30,3,205.883486590808,205.86607727823375,0.0005802835317187,0.0005331723950803,3.4652050089789554e-05,0.0052380305714905,0.0024813700001686,0.0005777567275799,0.355865478515625,-0.1322174072265625,-0.033172607421875,0.00211205589585,0.0023669023066759,0.0025236753281205
30,4,205.96968658060968,205.4439104297493,0.0175258699167944,0.0157163850963115,0.0001499367062933,0.0366248041391372,0.0097723072394728,0.001724362373352,1.4052886962890625,0.9584197998046876,-0.213897705078125,0.0085570309311151,0.0095995096489787,0.0069516166113317
